Image,Offer,Link,Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,MakeMyTrip ICICI Bank Platinum Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,Chennai Super Kings ICICI Bank Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI Manchester United Signature Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI Manchester United Platinum Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,Expressions Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,Platinum Chip Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI Bank HPCL Super Saver Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI Bank Emeralde Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI Bank Rubyx Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,Amazon Pay ICICI Bank Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI Bank Coral Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI Bank Sapphiro Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank Miles And More World Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank Miles And More World Select Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank Rewards Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank Neo Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Fibe Axis Bank Rupay Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis KWIK Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Insta Easy Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank My Wings Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank Titanium Smart Traveller Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank Platinum Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,LIC Axis Bank Platinum Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,LIC Axis Bank Signature Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank Signature Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank Privilege Easy Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank Pride Signature Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank Pride Platinum Credit Card
